[ 5323.267038] google_charger: usbchg=USB typec=C usbv=4878 usbc=489 usbMv=5000 usbMc=500
[ 5323.267121] sm8150_bms: MSC_PCS chg_state=1f410e003010015 [0x15:3:1:4320:500] chg=u
[ 5323.267127] google_battery: MSC_DIN chg_state=1f410e003010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4320 icl=500
[ 5323.269786] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4307187 ibatt=151562 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 5323.269791] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 5323.269793] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 5323.269806] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[ 5341.446613] swapout tgid 3935 pid 3935 name "adbd" vma 7fbd218000
[ 5341.446622] swapout tgid 3935 pid 3935 name "adbd" vma 7fbd219000
[ 5341.456694] swapout tgid 789 pid 789 name "main" vma 70c51000
[ 5341.457986] swapout tgid 789 pid 789 name "main" vma 71251000
[ 5341.461120] swapout tgid 789 pid 789 name "main" vma 713c9000
[ 5341.488961] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6655000
[ 5341.489002] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6656000
[ 5341.489020] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6657000
[ 5341.489038] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6658000
[ 5341.489055] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6659000
[ 5341.489072] swapout tgid 3935 pid 3935 name "adbd" vma 7fb665a000
[ 5341.489090] swapout tgid 3935 pid 3935 name "adbd" vma 7fb665b000
[ 5341.489108] swapout tgid 3935 pid 3935 name "adbd" vma 7fb665c000
[ 5341.489126] swapout tgid 3935 pid 3935 name "adbd" vma 7fb665d000
[ 5341.489144] swapout tgid 3935 pid 3935 name "adbd" vma 7fb665e000
[ 5341.489161] swapout tgid 3935 pid 3935 name "adbd" vma 7fb665f000
[ 5341.489180] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6660000
[ 5341.489197] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6661000
[ 5341.489214] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6662000
[ 5341.489232] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6663000
[ 5341.489250] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6664000
[ 5341.489268] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6665000
[ 5341.489286] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6666000
[ 5341.489303] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6667000
[ 5341.489320] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6668000
[ 5341.489338] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6669000
[ 5341.489355] swapout tgid 3935 pid 3935 name "adbd" vma 7fb666a000
[ 5341.489372] swapout tgid 3935 pid 3935 name "adbd" vma 7fb666b000
[ 5341.489388] swapout tgid 3935 pid 3935 name "adbd" vma 7fb666c000
[ 5341.489756] swapout tgid 3935 pid 3935 name "adbd" vma 7fb666d000
[ 5341.489774] swapout tgid 3935 pid 3935 name "adbd" vma 7fb666e000
[ 5341.489793] swapout tgid 3935 pid 3935 name "adbd" vma 7fb666f000
[ 5341.489813] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6670000
[ 5341.489830] swapout tgid 3935 pid 3935 name "adbd" vma 7fb6671000
[ 5342.209945] after: swapin tgid 21110 pid 21110 name "ps" vma 7fe9832000
[ 5342.210015] after: swapin tgid 21110 pid 21110 name "ps" vma 7fde5d6000
[ 5342.210073] after: swapin tgid 21110 pid 21110 name "ps" vma 7fcc465000
[ 5342.210512] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.210568] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.210629] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.210680] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.210735] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.210801] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.210858] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.210942] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.211112] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.211202] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.211260] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.211940] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.212045] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.212675] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.212838] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.213636] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.213863] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214027] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214083] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214144] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214198] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.214252] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214311] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214367] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214427] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214476] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214529] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214675] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214727] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214786] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214853] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.214907] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.215005] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.215107] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.215162] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.215220] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.215278] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.215373] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.215442] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216227] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
